system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_2_67_115,2895,2467,1501,1726,1900,2300,3097,3269,3598,3506,-0.030725691,-0.108270444,0.3088396,-0.35161534,2,0.4074267181208484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58311060798088,31.44775689479198]}"
1_1_2_67_117,2922,2540,1642,1786,2164,2409,2899,3014,2938,3211,0.05234844,-0.0027303754,0.15170522,-0.24386114,2,0.08856147497792277,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58332103186686,31.44775922254587]}"
1_1_2_67_120,3027,2553,1426,1732,1997,2524,3219,3360,3980,3537,-0.03662512,-0.13600685,0.3317718,-0.39355743,2,0.5681577435892806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58363666774154,31.447762713528903]}"
1_1_2_67_121,3084,2491,1374,1836,2048,2781,3411,3615,3934,3866,-0.016858237,-0.12111713,0.31527916,-0.36360484,2,0.1806366222130511,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58374187971197,31.44776387701716]}"
1_1_2_67_122,3084,2491,2042,2106,2274,2781,3411,3615,3954,3866,-0.05619165,-0.12361466,0.26974952,-0.3049505,2,0.44224788084220845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58384709168845,31.447765040419043]}"
1_1_2_67_125,2802,2121,1136,1463,1484,2206,3352,3667,3880,3864,-0.07847775,-0.16132894,0.4466816,-0.45236757,2,0.432778869864077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58416272765454,31.44776853010645]}"
1_1_2_67_126,2802,2121,1181,1485,1447,2206,3352,3667,4008,3864,-0.09959737,-0.17709251,0.46947753,-0.45931184,2,0.6497771399322416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58426793965543,31.447769693162833]}"
1_1_2_67_128,2746,2111,1091,1324,1293,2121,3344,3748,3966,3877,-0.111917324,-0.181764,0.5082715,-0.4994329,2,0.5330784409237938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58447836367546,31.447772019016476]}"
1_1_2_67_129,2773,2147,1266,1470,1436,2275,3388,3788,3940,3901,-0.10589485,-0.1738418,0.46577382,-0.45656192,2,0.6975356464996886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58458357569462,31.447773181813737]}"
1_1_2_67_131,2826,2189,1514,1705,1736,2388,3620,3915,4112,4116,-0.10443659,-0.185356,0.40629274,-0.4137872,2,0.025921700055699493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5847939997512,31.447775507149135]}"
